,3461
Date,2021-11-11 18:00:00
Open,0.10917
High,0.10948
Low,0.10854
Close,0.10868
Volume,81056373.7
Quote_Volume,8836648.356859
sumpv,8826730.90893
sumv,81053543.7
vwap,0.09
index,3462.0
mean,0.08261444348160982
psum,286.0112033333332
dev,0.02833999081603022
v1,2.779719729985716
varince,0.0008031550794526772
sd1_pos,0.10416999540801511
sd1_neg,0.07583000459198488
sd2_pos,0.11833999081603022
sd2_neg,0.06166000918396977
sd3_pos,0.13250998622404533
sd3_neg,0.047490013775954666
sd4_pos,0.14667998163206045
sd4_neg,0.033320018367939554
sd5_pos,0.16084997704007553
sd5_neg,0.019150022959924448
sd6_pos,0.17501997244809064
sd6_neg,0.004980027551909336
sd7_pos,0.18918996785610576
sd7_neg,-0.009189967856105777
sd8_pos,0.20335996326412087
sd8_neg,-0.02335996326412089
hlc3,0.1089
