,3461
Date,2021-11-11 18:00:00
Open,0.16519
High,0.1663
Low,0.16403
Close,0.1642
Volume,13986993.8
Quote_Volume,2311152.75524
sumpv,2305564.500615333
sumv,13986398.2
vwap,0.11
index,3462.0
mean,0.10850581272867348
psum,375.6471236666676
dev,0.04709947016791427
v1,7.677744271830029
varince,0.002218360090098246
sd1_pos,0.13354973508395712
sd1_neg,0.08645026491604287
sd2_pos,0.15709947016791426
sd2_neg,0.06290052983208573
sd3_pos,0.1806492052518714
sd3_neg,0.039350794748128595
sd4_pos,0.20419894033582853
sd4_neg,0.01580105966417146
sd5_pos,0.22774867541978566
sd5_neg,-0.007748675419785675
sd6_pos,0.2512984105037428
sd6_neg,-0.03129841050374281
sd7_pos,0.27484814558769993
sd7_neg,-0.054848145587699945
sd8_pos,0.29839788067165707
sd8_neg,-0.07839788067165708
hlc3,0.16484333333333334
