,1690
Date,2021-11-04 16:00:00
Open,0.963
High,0.9705
Low,0.9542
Close,0.9678
Volume,160230.0
Quote_Volume,154201.727
sumpv,154415.59466666667
sumv,160160.0
vwap,1.19
index,1691.0
mean,0.996918982850384
psum,1685.7899999999995
dev,0.4524804950791611
v1,346.00823134176983
varince,0.20473859842708275
sd1_pos,1.4162402475395806
sd1_neg,0.9637597524604193
sd2_pos,1.6424804950791612
sd2_neg,0.7375195049208388
sd3_pos,1.8687207426187415
sd3_neg,0.5112792573812583
sd4_pos,2.094960990158322
sd4_neg,0.28503900984167774
sd5_pos,2.3212012376979025
sd5_neg,0.05879876230209713
sd6_pos,2.547441485237483
sd6_neg,-0.16744148523748326
sd7_pos,2.7736817327770638
sd7_neg,-0.39368173277706386
sd8_pos,2.9999219803166444
sd8_neg,-0.6199219803166445
hlc3,0.9641333333333334
