,1690
Date,2021-11-04 16:00:00
Open,25.5
High,25.57
Low,25.23
Close,25.51
Volume,27160.98
Quote_Volume,690639.4533
sumpv,682909.8908666667
sumv,26847.46
vwap,18.29
index,1691.0
mean,18.573374492410807
psum,31407.576266666674
dev,7.706090964127565
v1,100358.68613112038
varince,59.38383794740851
sd1_pos,22.143045482063783
sd1_neg,14.436954517936217
sd2_pos,25.996090964127564
sd2_neg,10.583909035872434
sd3_pos,29.849136446191345
sd3_neg,6.730863553808652
sd4_pos,33.70218192825513
sd4_neg,2.877818071744869
sd5_pos,37.55522741031891
sd5_neg,-0.9752274103189151
sd6_pos,41.4082728923827
sd6_neg,-4.828272892382696
sd7_pos,45.261318374446475
sd7_neg,-8.681318374446477
sd8_pos,49.11436385651026
sd8_neg,-12.53436385651026
hlc3,25.436666666666667
