,3461
Date,2021-11-11 18:00:00
Open,5.954
High,5.969
Low,5.83
Close,5.865
Volume,519865.6
Quote_Volume,3063073.7359
sumpv,3060857.3696000003
sumv,519846.7
vwap,5.15
index,3462.0
mean,4.661384402079724
psum,16137.712800000005
dev,1.5548953717136653
v1,8367.658374355935
varince,2.4176996169765776
sd1_pos,5.9274476858568335
sd1_neg,4.372552314143167
sd2_pos,6.704895371713666
sd2_neg,3.595104628286335
sd3_pos,7.482343057570498
sd3_neg,2.8176569424295024
sd4_pos,8.259790743427331
sd4_neg,2.0402092565726697
sd5_pos,9.037238429284164
sd5_neg,1.262761570715837
sd6_pos,9.814686115140997
sd6_neg,0.4853138848590044
sd7_pos,10.592133800997829
sd7_neg,-0.2921338009978278
sd8_pos,11.369581486854662
sd8_neg,-1.069581486854661
hlc3,5.888000000000001
