,1690
Date,2021-11-04 16:00:00
Open,25.41
High,25.75
Low,25.23
Close,25.58
Volume,22878.15
Quote_Volume,583740.7687
sumpv,583842.732
sumv,22877.85
vwap,46.34
index,1691.0
mean,41.52833786713978
psum,70224.41933333337
dev,26.22173587513513
v1,1162009.2405960395
varince,687.5794323053487
sd1_pos,59.450867937567565
sd1_neg,33.22913206243244
sd2_pos,72.56173587513513
sd2_neg,20.118264124864872
sd3_pos,85.6726038127027
sd3_neg,7.007396187297303
sd4_pos,98.78347175027027
sd4_neg,-6.103471750270259
sd5_pos,111.89433968783783
sd5_neg,-19.21433968783782
sd6_pos,125.0052076254054
sd6_neg,-32.3252076254054
sd7_pos,138.11607556297298
sd7_neg,-45.43607556297296
sd8_pos,151.22694350054053
sd8_neg,-58.54694350054052
hlc3,25.52
