,3461
Date,2021-11-11 18:00:00
Open,4012.0
High,4070.0
Low,3985.0
Close,4036.0
Volume,59.6028
Quote_Volume,240024.1893
sumpv,236493.20786666663
sumv,58.7026
vwap,2808.37
index,3462.0
mean,2998.118643366072
psum,10379486.743333342
dev,1045.1540880252371
v1,3780613201.36461
varince,1092347.0677158653
sd1_pos,3330.9470440126183
sd1_neg,2285.7929559873814
sd2_pos,3853.524088025237
sd2_neg,1763.2159119747628
sd3_pos,4376.101132037856
sd3_neg,1240.638867962144
sd4_pos,4898.678176050475
sd4_neg,718.0618239495257
sd5_pos,5421.255220063093
sd5_neg,195.48477993690722
sd6_pos,5943.8322640757115
sd6_neg,-327.0922640757117
sd7_pos,6466.40930808833
sd7_neg,-849.6693080883301
sd8_pos,6988.986352100948
sd8_neg,-1372.2463521009486
hlc3,4028.6666666666665
