,1690
Date,2021-11-04 16:00:00
Open,161.8
High,163.2
Low,160.4
Close,162.5
Volume,15682.858
Quote_Volume,2543377.1993
sumpv,2531157.3418666665
sumv,15611.579
vwap,161.81
index,1691.0
mean,149.8528208160852
psum,253401.12000000008
dev,49.61242937008551
v1,4159754.420122912
varince,2461.393148001723
sd1_pos,186.61621468504276
sd1_neg,137.00378531495724
sd2_pos,211.42242937008552
sd2_neg,112.1975706299145
sd3_pos,236.22864405512826
sd3_neg,87.39135594487175
sd4_pos,261.034858740171
sd4_neg,62.58514125982899
sd5_pos,285.8410734252138
sd5_neg,37.778926574786226
sd6_pos,310.6472881102565
sd6_neg,12.972711889743493
sd7_pos,335.4535027952993
sd7_neg,-11.833502795299268
sd8_pos,360.25971748034203
sd8_neg,-36.63971748034203
hlc3,162.13333333333333
