,1690
Date,2021-11-04 16:00:00
Open,0.10662
High,0.10769
Low,0.10552
Close,0.10747
Volume,15536128.1
Quote_Volume,1658816.94442
sumpv,1656396.9877919997
sumv,15495793.2
vwap,0.13
index,1691.0
mean,0.12065469938892166
psum,204.02709666666652
dev,0.044055525731926004
v1,3.280102997302706
varince,0.001940889347516394
sd1_pos,0.152027762865963
sd1_neg,0.107972237134037
sd2_pos,0.174055525731926
sd2_neg,0.085944474268074
sd3_pos,0.196083288597889
sd3_neg,0.063916711402111
sd4_pos,0.218111051463852
sd4_neg,0.041888948536147996
sd5_pos,0.24013881432981501
sd5_neg,0.019861185670184994
sd6_pos,0.262166577195778
sd6_neg,-0.0021665771957780078
sd7_pos,0.28419434006174105
sd7_neg,-0.02419434006174101
sd8_pos,0.306222102927704
sd8_neg,-0.04622210292770401
hlc3,0.10689333333333333
